Requirement Text,Type
All business rules specified in the Disputes System shall be in compliance to the guidelines of Regulation E and Regulation Z.,NFR
Response time for common edit operations (change attributes and structure) shall be less than 1s.,NFR
When purchasing a streaming movie or pre-paid card via credit card the processing time should have a maximum response time of 15 seconds.,NFR
The product shall have a customizable Look and Feel.,FR
The product will function alongside server software on any operating system where the Java runtime can be installed.,NFR
Program Administrators and Nursing Staff Members shall be able to add new classes to a sequence of classes,FR
The system must offer effective search and discovery mechanism including a variety of browse options and keyword searching,FR
The system shall offer a display of all the Events in the exercise.,FR
The application shall not send any project data to the internet (except upload of document to Google Drive by the user).,NFR
The system shall notify the realtor when a seller or buyer responds to an appointment request,FR
When a ship is sunk the product shall simulate the sound of a sinking ship.,FR
he system shall be easy to use by callers and supervisors. Callers and supervisors must be able to accomplish any system task within 2 minutes.,NFR
The Disputes System shall record the name of the user and the date for any activity that creates or modifies the disputes case in the system. A detailed history of the actions taken on the case including the date and the user that performed the action must be maintained for auditing purposes.,FR
The Disputes System must prevent external users from requesting original receipts. Requests for original receipts are restricted to internal users.,FR
The available recycled parts information and their suppliers shall be returned to the user.,FR
User shall be able to display and hide Attributes Panel containing list of custom attributes of the selected requirement in the Requirements Table,FR
User shall be able to expand and collapse all changes in the History Panel.,FR
The product shall be able to handle up to 1500 simultaneous users. The system shall perform with 1500 users as a time.,NFR
The preferred repair facility shall be returned to the user.,FR
Program Administrators/Nursing Staff Members shall have the ability to modify information relating to cohorts including cohort identifier program of study preferred sequence of classes and quarters that a cohort will be taking specific classes.,FR
When requested  if a mission is currently active  the MissionPlanner shall cancel the active mission.,FR
The WASP platform shall provide functionality to find points of interest that match the user's explicit need and obey the restrictions following from the user's profile and current context.,FR
The SingleUAVFlightPlanScheduler shall only execute one flight plan at a time for each UAV.,FR
A WASP application must be authorized by the end-user before charging his account.,NFR
The language of the product shall accommodate all of the target market countries. 90% of survey respondents from each target market country will find that the language of the product is acceptable.,NFR
The product shall allow the user to save the property search results.,FR
The Disputes System must provide the ability to view existing dispute cases.,FR
The product shall allow a player to end a game at any time during the game.,FR
The recycled parts audit report shall be returned to the user within 10 seconds. The audit report shall be returned within 10 seconds.,FR
Only users with Update access must be able to initiate dispute requests.,FR
The system will use the stored e-mail addresses as a primary means of communicating information to affected parties.,FR
The audit report shall be displayed to the user.,FR
The system must support staged deposit workflow including an administrative area for quality checking prior to data publication.,FR
When a UAV's current flight is cancelled  the SingleUAVFlightPlanScheduler shall in turn cancel all scheduled flight plans for that UAV.,FR
The product shall be easy to learn by Adjusters and Collision Estimators. The product shall be learned with two days onsite training,NFR
The System shall allow entering storing and modifying product formulas.,FR
Users should be able to access their streaming movies in under 2 clicks after logging into the website.,FR
One insurance company shall not be able to view another insurance companys claim data.,NFR
The product shall be available 99% of the time. Rationale: To avoid service interruption during busiest customer service response periods. The product shall be available 99.99% of the time for regular business days.,NFR
The Disputes System must allow the user to create three unique types of ticket retrieval requests. The three types of ticket retrieval requests are (1) Request for original receipt (2) Request for a copy of the receipt or (3) Request for a portfolio. A portfolio consists of documentation that would provide proof of a purchase such as the documentation that is received from a car rental agency that is more than a sales receipt.,FR
The WCS system shall have the ability to include data for regions outside the United States and be accessed by users outside of the United States if approved by CCR management.,NFR
tudents added to a cohort shall be eligible for the cohort's Program of Study.,FR
A class shall be either a non-clinical class or a clinical class.,NFR
The product shall run on the existing hardware for all environments.,NFR
The product shall allow a player to initiate a game by selecting another available player from the list of players.,FR
The system must hold funder and grant metadata associated with one or more repository records.,FR
User shall be able to save the current document to user's Google Drive providing its name and password for encryption,FR
The product shall respond fast to keep up-to-date data in the display.,NFR
Only adjusters can request recycled parts audit reports. No users without an adjuster role shall request recycled parts audits.,FR
"New comments shall be stored with the current date and time, and author contact details name, email and company (see User Settings).",FR
The WASP platform must provide services that may be used by WASP applications in order to personalize content for a specific end-user based on his or her user profile.,FR
The Disputes System shall prevent the creation of duplicate dispute requests 100% of the time.,FR
Application updates shall occur between 3AM and 6 AM CST on Wednesday morning during the middle of the NFL season.,NFR
When given a takeoff command the InternalSimulator shall move the UAV to the takeoff altitude corresponding to its current longitude and latitude.,FR
r Susan Poslusny and Dr Julie Donalek are the only people who shall have access to students' personal information.,NFR
The WASP platform should be able to determine whether a traffic jam lies on a suggested route.,FR
he system shall be easy to learn by callers and supervisors. Callers and supervisors shall learn how to use the system within 10 minutes.,NFR
The response time shall be fast enough to maintain the flow of the game. The response time shall be no more than 2 seconds for 95% of responses and no more than 4% for the remaining responses.,NFR
The system shall be built such that it is as secure as possible from malicious interference.,NFR
The audit report shall be available to other adjusters at later points in time.,FR
"User shall be able to review requirements organized into a table containing at Requirement ID, Requirement Description, Discussion, Links and custom requirement attribute columns",FR
When a game is ended the product shall notify the players that the game is ended.,FR
The maintenance of the product will fall within the established corporate maintenance windows.,NFR
When a shot is marked as a hit the product shall simulate the sound of a shot hitting its target.,FR
The system shall interface with the student master server.,NFR
Program Administrators and Nursing Staff Members shall be able to add a student who has registered for a clinical class to a clinical lab section for that class.,FR
The RealTimeFlightUI shall display all currently active flight plans on the map.,FR
A clinical lab section shall include the clinical site name the class instructor day and time of the lab.,NFR
The DronologyRuntimeMonitor shall be able to receive messages from any Dronology component,FR
If the shot was marked as a miss the product shall change the status of the defensive player to offensive,FR
